Age,Income,LoanAmount,Credit_History,Loan_Status
21,200000,16000,0,4
25,54000,25000,1,4
23,60000,25000,1,3
23,60000,25000,1,4
21,60000,25000,1,4
25,61959,25000,1,2
22,56400,25000,1,3
23,200000,28000,0,2
21,200000,25000,0,2
24,200000,24000,0,4
26,200000,15000,0,3
25,200000,15500,0,2
24,200000,10000,0,4
24,66000,25000,1,2
22,66000,25000,1,3
22,200000,9000,0,4
144,200000,6000,0,2
25,200000,18000,0,3
25,200000,12000,0,2
25,200000,23050,0,3
24,200000,20000,0,3
24,60000,25000,1,2
21,14400,3000,1,4
26,66996,25000,1,2
23,67000,25000,1,4
24,67000,25000,1,3
24,68000,25000,1,3
25,69000,25000,1,2
25,200000,12000,0,3
26,188000,20000,1,2
26,200000,3000,0,3
25,69996,25000,1,3
22,14400,4000,1,3
24,70000,25000,1,4
24,14400,6000,1,3
24,56100,25000,1,4
25,66000,25000,1,2
26,66000,25000,1,4
25,14400,5375,1,2
25,72612,25000,1,2
23,74000,25000,1,3
25,75000,25000,1,2
24,192000,22000,0,2
21,192000,20000,0,4
25,191000,10000,0,4
26,190300,15000,0,3
22,190000,10000,0,3
24,75000,25000,1,4
22,71000,25000,1,4
26,190000,20000,0,4
23,189996,24000,0,3
23,78000,25000,1,2
23,78000,25000,1,3
23,78504,25000,1,3
25,186000,10000,0,4
24,185000,35000,0,2
25,185000,15000,0,2
24,62050,25000,1,2
23,79416,25000,1,2
21,14400,6250,1,2
24,79631,25000,1,2
24,79632,25000,1,4
21,14400,1500,0,4
24,80000,25000,1,2
26,80000,25000,1,4
22,185000,25000,0,2
26,185000,5000,0,2
24,184992,22000,0,4
23,184000,2500,0,2
24,172000,20000,1,4
24,183000,20000,0,3
22,183000,1000,0,2
25,182952,15000,0,3
23,74004,25000,1,4
26,74004,25000,1,4
25,81000,25000,1,3
23,81600,25000,1,3
24,82000,25000,0,2
24,83000,25000,0,3
24,83000,25000,0,3
24,180000,18000,0,4
23,180000,28000,0,3
23,14400,4000,1,2
22,14400,2100,0,4
22,84500,25000,0,4
24,85000,25000,0,4
24,180000,14000,0,2
26,180000,12000,0,4
25,142800,10000,1,4
23,14664,6000,1,4
24,87000,25000,0,3
24,75000,25000,1,3
23,76000,25000,1,4
23,66215,25000,1,2
25,90000,25000,0,4
21,15000,6200,1,2
26,180000,25000,0,4
24,180000,21000,0,3
25,180000,20000,0,4
26,180000,10000,0,4
25,180000,9950,0,2
23,15000,4475,1,4
23,78000,25000,1,3
25,66300,25000,1,4
23,90000,25000,0,3
24,79000,25000,1,4
24,91800,25000,0,3
25,92000,25000,0,3
24,92000,25000,0,4
23,93600,25000,0,4
23,15000,1750,0,3
23,70550,25000,1,4
25,83800,25000,1,3
26,175000,2600,0,4
25,175000,8000,0,2
22,175000,18000,0,2
23,175000,21000,0,3
23,15000,4000,1,4
23,15000,4600,1,2
22,88000,25000,1,2
25,74800,25000,1,2
25,88000,25000,1,4
25,15000,1750,0,4
26,88000,25000,1,3
25,100000,25000,0,4
23,15000,3600,1,4
24,102400,25000,0,3
24,92000,25000,1,4
23,93000,25000,1,2
22,175000,3500,0,2
23,175000,7200,0,3
25,174708,9000,0,3
25,174000,8800,0,3
26,174000,12000,0,4
25,162000,25000,1,3
26,173467,10000,0,4
21,15000,3175,1,3
25,96000,25000,1,4
21,15120,1500,0,2
24,97908,25000,1,2
26,110000,25000,0,2
23,15204,2800,1,3
25,159600,30000,1,4
24,171500,18000,0,4
25,170004,10000,0,4
24,158004,25000,1,2
26,170000,13000,0,3
24,83300,25000,1,2
24,110000,25000,0,2
22,15360,2500,1,3
25,134300,5000,1,2
25,170000,20000,0,2
22,100580,25000,1,2
25,113000,25000,0,4
24,120000,25000,0,4
25,120000,25000,0,2
23,120000,25000,0,2
24,91800,25000,1,2
21,15600,1000,0,4
26,108000,25000,1,3
26,129996,25000,0,3
23,130000,25000,0,2
23,130000,25000,0,4
25,170000,20000,0,4
26,170000,12000,0,2
22,169000,14000,0,3
26,168750,24250,0,3
23,168600,20000,0,3
24,168288,1800,0,3
25,168000,35000,0,2
24,133300,25000,0,2
24,15600,3300,1,4
24,134000,25000,0,3
25,134000,25000,0,2
25,15600,3200,1,2
25,135000,25000,0,4
26,135660,25000,0,4
25,145000,25000,0,4
23,150000,25000,0,3
23,165000,9600,0,3
22,153000,24000,1,2
24,165000,20000,0,4
25,165000,25000,0,4
21,165000,20000,0,4
23,16000,6000,1,2
23,16000,2275,0,4
23,16000,2000,0,3
23,148000,25000,1,3
23,16000,5600,1,4
24,16020,3625,1,2
22,16094,5500,1,3
25,175000,25000,0,2
22,16200,2000,0,3
24,185000,25000,0,2
25,162000,25000,0,2
26,161000,30000,0,4
22,160000,35000,0,4
25,225000,25000,0,4
25,16400,5000,1,4
23,16500,4375,1,4
25,49500,24750,1,3
23,60000,24750,1,3
24,84200,24500,0,4
22,16800,2000,0,2
24,92000,24500,0,4
23,160000,35000,0,2
24,160000,12000,0,4
25,160000,12000,0,4
26,160000,25000,0,4
25,125800,10000,1,4
25,54000,24250,1,4
23,62500,24250,1,4
24,16800,3900,1,3
25,68400,24250,1,4
26,56045,24250,1,2
22,74000,24250,1,2
24,65453,24250,1,2
24,89908,24250,0,3
26,78000,24250,1,3
23,100000,24250,0,2
23,103000,24250,0,2
25,160000,9000,0,3
25,160000,15000,0,4
24,160000,20000,0,3
23,160000,25000,0,2
26,160000,13750,0,4
21,160000,15250,0,4
25,160000,20000,0,2
22,16800,4750,1,2
25,111996,24250,0,3
21,16800,6000,1,4
25,115200,24250,0,2
23,144000,24250,0,3
23,287000,24250,0,3
22,108000,24150,1,3
22,43000,24000,1,3
23,47004,24000,1,4
24,48000,24000,1,2
26,48000,24000,1,3
21,44964,24000,1,2
25,52000,24000,1,2
22,17352,2250,0,3
24,47000,24000,1,2
22,17400,1000,0,2
22,49000,24000,1,4
26,60000,24000,1,4
25,60000,24000,1,4
22,60000,24000,1,3
21,60000,24000,1,2
26,62004,24000,1,3
22,62400,24000,1,2
26,65000,24000,1,2
22,17760,4975,1,3
23,59000,24000,1,2
23,66000,24000,1,4
24,60000,24000,1,4
25,66143,24000,1,3
22,62250,24000,1,4
24,70000,24000,1,4
23,74000,24000,1,2
22,18000,3000,1,4
22,75000,24000,1,4
24,75000,24000,1,3
24,75000,24000,1,3
26,69000,24000,1,3
23,78000,24000,1,3
22,18000,2000,0,3
24,80000,24000,0,2
22,18000,3500,1,4
23,18000,4000,1,2
23,74700,24000,1,2
26,88596,24000,0,3
25,95000,24000,0,2
22,83000,24000,1,3
25,95000,24000,0,4
21,18000,4900,1,4
21,18000,5000,1,2
26,100000,24000,0,4
24,110000,24000,0,4
24,18000,6250,1,4
22,98000,24000,1,2
26,103872,24000,1,4
22,120000,24000,0,4
24,120000,24000,0,4
26,108000,24000,1,3
24,124080,24000,0,4
23,18000,2500,1,2
24,130000,24000,0,3
25,135000,24000,0,2
24,135000,24000,0,2
23,114750,24000,1,3
23,150000,24000,0,4
23,138000,24000,1,2
24,18000,13000,1,3
21,18000,6250,1,4
26,155000,24000,0,4
26,148000,24000,1,2
26,170000,24000,0,2
21,18000,2500,0,3
24,43896,23975,1,2
23,120000,23750,0,2
24,54996,23600,1,3
24,18000,10000,1,2
25,102000,23600,0,4
23,75000,23575,1,4
22,18000,4000,1,2
22,18000,5400,1,2
25,18000,4000,1,3
21,18000,3375,1,2
22,66960,23400,1,2
22,43385,23000,1,3
25,56544,23000,1,2
23,60000,23000,1,4
24,18000,1200,0,4
25,63208,23000,1,3
24,65000,23000,1,4
23,68000,23000,1,2
22,18000,3000,1,3
25,80000,23000,0,2
24,88000,23000,1,2
22,58600,22750,1,4
23,70000,22500,1,2
24,18287,3000,1,3
26,69846,22500,1,2
24,73000,22400,1,4
24,18500,5000,1,3
23,35000,22250,1,3
25,43000,22000,1,2
25,52000,22000,1,2
21,18701,4200,1,4
22,57000,22000,1,3
25,58000,22000,1,2
23,60000,22000,1,4
24,60000,22000,1,2
25,18840,3000,1,2
26,56000,22000,1,3
22,70000,22000,1,4
22,66000,22000,1,2
23,74064,22000,0,3
24,76597,22000,0,2
22,19000,3625,1,3
26,77000,22000,0,3
21,19000,6000,1,3
24,80000,22000,0,4
26,82600,22000,0,2
24,19000,7400,1,2
25,19000,4000,1,3
23,84000,22000,0,4
25,77650,22000,1,3
25,82000,22000,1,2
21,19012,3500,1,3
23,99996,22000,0,4
23,110000,22000,0,3
22,19200,4950,1,2
25,57000,21700,1,2
24,54000,21600,1,2
23,56000,21600,1,4
26,63000,21600,1,3
22,82000,21600,0,3
22,78000,21600,1,3
22,19200,2400,0,3
24,112140,21600,0,2
24,19200,7000,1,4
25,19200,3000,1,4
24,59000,21500,1,3
24,70000,21500,1,3
24,116000,21500,0,3
25,60000,21450,1,4
22,31000,21250,1,3
25,47052,21250,1,2
25,51060,21250,1,2
22,19200,5000,1,2
22,53000,21250,1,3
26,19200,9250,1,2
24,56000,21250,1,3
24,65000,21250,1,4
21,35000,21000,1,4
22,19200,1400,1,4
23,19200,3000,1,4
26,40000,21000,1,4
25,19200,1000,0,3
26,42000,21000,1,4
23,63000,21000,1,2
26,19200,4000,1,4
22,59000,21000,1,3
22,70500,21000,0,4
26,65219,21000,1,3
22,75000,21000,0,3
22,19200,5000,1,3
25,62047,21000,1,4
24,79000,21000,0,2
23,80000,21000,0,3
24,84000,21000,0,4
26,85000,21000,0,3
22,93000,21000,0,3
26,81000,21000,1,3
26,97000,21000,0,3
26,97000,21000,0,3
25,100000,21000,1,3
26,19200,7500,1,2
21,19253,6250,1,3
26,125000,21000,0,2
25,125000,21000,0,3
23,82000,20900,0,2
21,19500,15000,1,2
26,50000,20500,1,3
23,70000,20500,0,3
22,19800,2100,0,4
123,80004,20400,0,3
23,54000,20375,1,2
26,26000,20050,1,2
24,33000,20000,1,3
23,20000,5000,0,4
22,20000,9250,0,4
24,35364,20000,1,4
25,38000,20000,1,4
23,32000,20000,1,4
25,38004,20000,1,2
23,20000,6400,0,4
25,38556,20000,1,4
23,32900,20000,1,2
25,34000,20000,1,4
24,40000,20000,1,3
21,36000,20000,1,2
26,20000,4800,0,3
25,42000,20000,1,4
22,42224,20000,1,4
25,20000,5650,0,2
23,20000,3625,0,3
22,37212,20000,1,3
25,38000,20000,1,4
22,45000,20000,1,4
23,45000,20000,1,2
24,45000,20000,1,2
23,20000,1200,0,3
22,45000,20000,1,3
24,39000,20000,1,2
24,46500,20000,1,2
22,48000,20000,1,3
22,42000,20000,1,3
22,48500,20000,1,4
22,20000,7500,0,4
23,49400,20000,1,4
25,20000,4000,0,2
25,50000,20000,1,3
25,50000,20000,1,2
22,50000,20000,1,2
22,20000,5000,0,3
22,44000,20000,1,4
24,50866,20000,1,3
25,50950,20000,1,3
24,51000,20000,1,3
22,51000,20000,1,3
22,51000,20000,1,2
24,51500,20000,1,4
25,51996,20000,1,3
25,52000,20000,1,4
22,46000,20000,1,4
26,20000,1500,0,3
24,52000,20000,1,2
25,46000,20000,1,2
24,52559,20000,1,3
22,47000,20000,1,3
22,54000,20000,1,4
23,48000,20000,1,4
23,48000,20000,1,3
23,54000,20000,1,4
24,48912,20000,1,4
26,54996,20000,1,4
24,55000,20000,1,2
25,55000,20000,1,3
26,49000,20000,1,3
25,55000,20000,1,4
22,20000,16600,0,3
23,55000,20000,1,2
25,55200,20000,1,4
23,20004,7125,0,2
23,57000,20000,1,2
22,51012,20000,1,4
23,20004,2500,0,2
26,20004,3600,0,2
22,58000,20000,1,2
23,58800,20000,1,3
26,59000,20000,1,3
26,53000,20000,1,4
23,60000,20000,1,2
24,54000,20000,1,2
21,20245,3550,0,4
26,20280,7000,0,2
24,60000,20000,1,2
24,20352,7750,0,3
25,54000,20000,1,3
24,60000,20000,1,4
23,54000,20000,1,3
23,54000,20000,1,2
22,60000,20000,1,3
25,60000,20000,1,2
22,20400,6000,0,4
24,20400,5500,0,4
25,60000,20000,1,3
25,54000,20000,1,3
24,54000,20000,1,3
23,60000,20000,1,2
21,20400,1275,0,3
25,54000,20000,1,4
24,60000,20000,1,2
21,20400,2400,0,4
24,60000,20000,1,4
26,60000,20000,1,4
23,54504,20000,1,4
24,55000,20000,1,2
24,61000,20000,1,4
22,20400,3800,0,3
25,62000,20000,1,3
24,56000,20000,1,4
21,56000,20000,1,3
24,62400,20000,1,2
25,62400,20000,1,2
25,63000,20000,1,3
26,58000,20000,1,2
23,65000,20000,1,3
24,20800,5000,0,3
23,65000,20000,1,2
23,65000,20000,1,3
24,20856,10000,0,4
25,20868,5375,0,2
26,59000,20000,1,4
23,59000,20000,1,4
21,21000,3500,1,2
26,65004,20000,1,2
25,59004,20000,1,2
23,59004,20000,1,2
23,65500,20000,1,2
22,66996,20000,0,2
23,67000,20000,0,2
24,67000,20000,0,2
26,68000,20000,0,4
25,68000,20000,0,4
24,62400,20000,1,4
23,69500,20000,0,2
25,70000,20000,0,2
22,70000,20000,0,4
25,64000,20000,1,4
25,71004,20000,0,2
22,21000,3000,0,3
23,71004,20000,0,3
23,55392,20000,1,4
24,72000,20000,0,2
24,21000,6000,0,2
23,66000,20000,1,3
22,66000,20000,1,2
24,72000,20000,0,3
24,74000,20000,0,3
22,21120,1625,1,3
25,75000,20000,0,4
21,21216,4500,1,2
25,21221,8500,0,4
24,75000,20000,0,3
26,75000,20000,0,4
26,75000,20000,0,3
25,75000,20000,0,3
22,69000,20000,1,4
22,75000,20000,0,2
21,21600,7575,0,3
26,21600,5200,0,3
24,69000,20000,1,4
23,75600,20000,0,3
23,59497,20000,1,3
23,76000,20000,0,3
26,70000,20000,1,3
24,70000,20000,1,4
22,77004,20000,0,4
26,71004,20000,1,2
21,21600,7125,0,3
22,21600,4025,0,4
24,21600,8000,0,2
26,78000,20000,0,4
22,21600,4000,0,2
26,21600,4200,0,3
22,21600,1400,0,2
123,78000,20000,0,4
23,61200,20000,1,2
21,21600,3800,0,2
24,72000,20000,1,4
23,78000,20000,0,3
23,78500,20000,0,4
23,79000,20000,0,4
23,80000,20000,0,4
23,21600,6000,0,4
22,62900,20000,1,4
24,80000,20000,0,4
25,80000,20000,0,4
23,21600,2000,0,4
22,80000,20000,0,4
22,21600,8500,0,4
26,62900,20000,1,3
26,21600,1000,0,3
25,74004,20000,1,4
25,80004,20000,0,4
23,80700,20000,0,2
22,81000,20000,0,4
24,21600,2000,1,2
22,82000,20000,0,2
23,76042,20000,1,4
22,76654,20000,1,4
24,83500,20000,0,3
26,21600,3000,0,2
23,84000,20000,0,4
25,84000,20000,0,2
23,21600,4400,0,2
21,21600,10000,0,2
24,78996,20000,1,2
23,85000,20000,0,2
25,85000,20000,0,3
26,73000,20000,1,2
21,21816,1500,0,3
23,21840,9000,0,3
25,85000,20000,0,2
24,21948,4000,0,2
22,87000,20000,0,4
23,21996,6000,0,4
22,90000,20000,0,4
23,78000,20000,1,2
24,90000,20000,0,3
23,90000,20000,0,4
26,90000,20000,0,3
22,22000,7000,0,2
23,90000,20000,0,4
25,91229,20000,0,3
26,22000,3825,0,4
22,92000,20000,0,2
22,22000,6500,0,4
25,22000,5875,1,2
25,92407,20000,0,2
22,22000,2400,0,3
24,22000,8000,0,4
26,93492,20000,0,4
23,22000,1550,1,2
22,94500,20000,0,2
23,83000,20000,1,2
23,95000,20000,0,2
24,95000,20000,0,3
21,22000,7350,0,2
23,96000,20000,0,3
22,22000,7200,0,2
22,85200,20000,1,4
22,98000,20000,0,4
24,22000,3000,0,2
23,99000,20000,0,4
21,22000,4000,0,4
22,22000,8500,0,4
24,99996,20000,0,3
25,87996,20000,1,3
26,22000,7500,0,2
25,100000,20000,0,2
25,100000,20000,0,2
25,22000,7500,0,3
23,22080,6700,0,4
22,74800,20000,1,4
23,74800,20000,1,2
22,100000,20000,0,3
25,22260,6400,0,4
26,22296,5400,0,3
26,104000,20000,0,2
23,93000,20000,1,3
23,95000,20000,1,2
25,108000,20000,0,4
25,96901,20000,1,3
23,110000,20000,0,3
22,110000,20000,0,3
22,110000,20000,0,3
24,110000,20000,0,4
23,110000,20000,0,2
22,22800,2000,0,3
22,22800,7125,1,3
23,22800,3000,1,2
25,85000,20000,1,2
23,22800,4800,0,2
22,22800,8300,1,2
23,120000,20000,0,4
24,22800,4750,0,3
24,121000,20000,0,3
23,125000,20000,0,4
22,22800,3000,0,2
25,130000,20000,0,2
26,130000,20000,0,4
23,22884,6000,0,2
24,133000,20000,0,2
22,23000,10625,0,4
21,23000,7000,0,3
25,140000,20000,0,4
24,138000,20000,1,3
23,23000,3600,1,3
26,148000,20000,1,3
22,160000,20000,0,4
22,23000,4800,0,4
26,160000,20000,0,3
26,168000,20000,0,4
26,172500,20000,0,2
21,23000,3000,0,3
25,175000,20000,0,2
25,23000,4400,0,2
25,58000,19900,1,4
26,116000,19800,0,4
26,19500,500,0,2
25,23000,10000,1,2
21,19000,700,0,2
22,23000,7000,0,3
25,19000,750,0,4
23,10000,1000,1,2
22,10000,1000,1,4
21,10140,1000,1,4
22,23000,2400,0,4
21,23000,2400,0,4
23,10500,1000,1,2
22,11220,1000,0,4
22,11760,1000,0,4
23,11820,1000,0,3
25,12000,1000,0,2
21,12000,1000,0,2
22,12000,1000,1,3
22,12240,1000,1,3
24,13728,1000,1,4
21,14400,1000,1,4
23,23040,2000,0,3
21,23040,5000,0,3
22,14400,1000,1,3
21,23040,15000,0,2
22,15000,1000,1,3
21,16000,1000,1,3
24,16800,1000,0,3
22,16800,1000,0,4
24,19200,1000,0,4
23,39600,19000,1,2
22,39900,19000,1,3
25,47000,19000,1,2
25,50000,19000,1,4
25,52000,19000,1,4
24,23500,7000,0,3
26,47500,19000,1,4
25,54000,19000,1,4
22,54000,19000,1,4
23,54586,19000,1,2
26,62004,19000,1,2
22,70000,19000,0,4
23,72000,19000,0,4
24,73000,19000,0,3
23,78000,19000,0,2
25,23920,6000,1,2
22,23964,2500,0,2
26,96000,19000,0,2
24,105000,19000,0,2
24,175000,19000,0,3
26,50000,18950,1,3
26,55000,18800,1,2
22,70000,18750,0,2
22,36500,18725,1,3
22,43000,18550,1,4
24,24000,7100,0,3
24,34300,18500,1,2
21,36000,18500,1,3
22,38000,18500,1,4
25,55784,18500,1,3
23,74196,18500,0,3
25,75000,18500,0,3
24,73000,18500,1,2
22,24000,8000,0,2
21,24000,3000,0,4
24,78000,18500,1,2
26,145000,18500,0,3
22,24000,5000,0,2
22,48888,18400,1,2
22,50000,18400,1,2
23,120000,18400,0,2
22,24000,5000,1,4
25,24000,6000,0,3
22,34000,18250,1,3
24,35004,18250,1,4
25,34500,18250,1,3
23,42504,18250,1,3
22,24000,1300,0,3
22,36996,18250,1,2
24,45600,18250,1,4
25,24000,5800,0,3
23,46000,18250,1,2
25,46000,18250,1,3
25,55044,18250,1,2
25,49200,18250,1,3
22,50000,18250,1,3
23,50000,18225,1,2
26,44000,18225,1,4
24,36000,18200,1,4
25,36400,18200,1,4
22,36000,18200,1,3
24,55000,18200,1,2
23,27000,18000,1,4
23,24000,8000,0,2
23,33000,18000,1,4
21,36000,18000,1,3
21,30720,18000,1,4
23,39996,18000,1,4
25,40000,18000,1,3
22,24000,5000,0,4
25,42000,18000,1,2
24,24000,8000,0,4
24,24000,2400,0,2
24,42765,18000,1,2
24,43000,18000,1,2
22,44000,18000,1,4
24,44000,18000,1,2
25,39000,18000,1,3
22,46800,18000,1,2
22,48000,18000,1,2
24,42000,18000,1,3
24,24000,4200,0,3
24,43400,18000,1,2
24,50000,18000,1,4
24,50000,18000,1,4
23,24000,5000,1,2
23,24000,4200,0,4
26,50000,18000,1,3
22,50000,18000,1,2
22,24000,2500,0,2
22,52000,18000,1,4
22,24000,6000,0,4
25,52000,18000,1,4
22,52000,18000,1,4
25,52526,18000,1,2
22,46610,18000,1,3
24,48000,18000,1,2
23,24000,8000,0,3
25,55000,18000,1,2
25,55344,18000,1,4
23,24000,1375,1,4
24,56000,18000,1,3
21,50000,18000,1,2
25,58000,18000,1,4
21,52240,18000,1,2
26,53000,18000,1,3
22,60000,18000,0,4
22,60000,18000,0,3
25,61500,18000,0,2
26,24000,5000,1,3
22,62000,18000,0,4
23,24000,5600,0,3
24,24000,10000,0,4
22,63000,18000,0,4
23,63000,18000,0,3
23,63000,18000,0,3
25,65000,18000,0,3
25,65000,18000,0,3
24,59000,18000,1,4
25,65000,18000,0,3
26,59000,18000,1,4
26,60000,18000,1,2
25,66000,18000,0,3
21,68000,18000,0,2
24,70000,18000,0,2
25,54400,18000,1,2
25,70200,18000,0,2
25,65000,18000,1,4
26,71820,18000,0,2
24,66000,18000,1,4
24,72000,18000,0,2
24,24000,3000,0,2
23,73500,18000,0,2
25,24000,1200,0,4
23,75000,18000,0,4
25,24000,3500,1,2
23,75576,18000,0,3
21,24000,7000,0,2
26,78000,18000,0,2
21,80000,18000,0,2
23,80000,18000,0,3
22,80000,18000,0,4
26,80171,18000,0,3
23,81000,18000,0,2
23,24000,2800,1,3
23,82000,18000,0,2
23,76500,18000,1,4
24,24000,8500,0,2
26,24000,2100,0,3
22,82570,18000,0,2
26,24000,6000,0,4
25,84000,18000,0,3
22,24000,2500,0,2
25,85000,18000,0,4
26,86000,18000,0,2
23,87000,18000,0,2
23,88000,18000,0,4
23,90000,18000,0,4
24,95000,18000,0,4
26,95000,18000,0,3
24,102000,18000,0,3
24,110000,18000,0,4
23,87550,18000,1,3
26,116004,18000,0,4
24,121000,18000,0,3
22,125000,18000,0,3
25,24000,5000,0,3
22,144500,18000,0,3
24,155000,18000,0,4
22,24000,5000,0,3
21,75000,17950,0,3
26,130000,17950,0,2
25,24000,7000,0,3
23,62050,17800,1,3
23,24000,1500,0,2
22,48000,17750,1,4
22,65000,17700,0,2
26,24000,8000,0,3
24,24000,8000,0,4
22,24000,3975,0,3
23,45000,17625,1,4
25,59256,17600,0,2
22,65500,17600,0,2
24,70000,17600,0,2
24,71480,17600,0,4
21,24000,5000,0,2
23,24091,3500,0,2
24,72250,17600,1,4
25,32400,17500,1,3
23,36000,17500,1,4
21,37232,17500,1,2
21,24300,4500,0,4
21,24396,4000,0,4
24,40800,17500,1,4
22,24449,1800,0,4
24,24468,5000,0,3
25,44000,17500,1,4
23,47500,17500,1,4
22,49176,17500,1,2
23,49270,17500,1,4
23,53352,17500,1,2
24,54996,17500,1,3
24,58000,17500,0,4
23,59000,17500,0,4
26,60000,17500,0,4
26,75000,17500,0,2
22,24900,5500,1,2
25,95950,17500,0,2
21,24960,2000,0,3
23,40000,17475,1,2
21,45408,17475,1,2
23,24996,5000,0,2
22,58000,17475,0,3
24,82000,17400,0,4
24,96000,17400,0,2
24,133000,17400,0,4
24,95000,17200,0,3
23,35000,17000,1,2
26,29400,17000,1,2
21,24996,7000,0,2
22,40000,17000,1,4
22,41400,17000,1,3
22,42000,17000,1,4
24,43275,17000,1,3
24,45792,17000,1,2
23,47000,17000,1,4
25,49896,17000,1,3
24,50000,17000,1,3
23,24996,4575,0,2
23,24996,8000,0,2
23,51000,17000,1,4
24,45000,17000,1,2
25,52000,17000,1,2
21,24996,6500,0,4
23,52000,17000,1,4
24,52500,17000,1,3
23,54660,17000,1,4
26,25000,7400,0,2
24,55782,17000,0,3
23,53000,17000,1,4
22,25000,2400,0,2
23,60000,17000,0,2
25,60000,17000,0,2
23,25000,4000,0,4
25,62000,17000,0,3
26,65000,17000,0,2
23,70000,17000,0,3
25,72000,17000,0,3
24,75000,17000,0,2
24,75000,17000,0,3
23,78000,17000,0,3
21,25000,3600,0,4
23,85500,17000,0,2
22,89004,17000,0,4
26,66300,17000,1,3
23,90000,17000,0,3
26,95000,17000,0,3
22,96000,17000,0,2
25,114000,17000,0,3
26,175000,17000,0,3
21,49000,16950,1,4
24,72000,16875,0,4
